X,Y,zettaicode,suikeicode,prefcode,suiikicode,chitencode,chitenflag,nendo,locationname,rlscode,kijunflag1,kijunflag2,water,latitude,longitude,kijunflag3
142.4863889,44.34,"0110420","","01","021","01",1,2021,"真勲別頭首工（旧名寄緑ケ丘浄水場取水口）",1,"1","3","天塩川下流（１）",44.34,142.4863889,""
142.0761111,44.84388889,"0110430","","01","022","01",1,2021,"下中川捕獲場",1,"1","0","天塩川下流（２）",44.84388889,142.0761111,""
142.3947222,44.14138889,"0110440","","01","023","01",1,2021,"１２線橋（犬牛別川合流前）",1,"1","3","天塩川下流（３）",44.14138889,142.3947222,""
141.73833333,44.87944445,"0114750","","01","024","56",2,2021,"天塩河口",1,"2","0","天塩川下流（４）",44.87944445,141.73833333,""
141.73833333,44.87944445,"0114750","","01","024","56",2,2021,"天塩河口",1,"2","0","天塩川下流（４）",44.87944445,141.73833333,""
142.0444444,44.74361111,"0110450","","01","024","01",1,2021,"中川",1,"1","3","天塩川下流（４）",44.74361111,142.0444444,""
142.0444444,44.74361111,"0110450","","01","024","01",1,2021,"中川",1,"1","3","天塩川下流（４）",44.74361111,142.0444444,""
141.88,44.92833333,"0110460","","01","024","51",2,2021,"円山（円山水位観測所）",1,"2","3","天塩川下流（４）",44.92833333,141.88,""
141.88,44.92833333,"0110460","","01","024","51",2,2021,"円山（円山水位観測所）",1,"2","3","天塩川下流（４）",44.92833333,141.88,""
142.3355556,44.48138889,"0110470","","01","024","52",2,2021,"美深橋",1,"2","0","天塩川下流（４）",44.48138889,142.3355556,""
142.3355556,44.48138889,"0110470","","01","024","52",2,2021,"美深橋",1,"2","0","天塩川下流（４）",44.48138889,142.3355556,""
142.4430556,44.36111111,"0110490","","01","024","54",2,2021,"名寄大橋",1,"2","0","天塩川下流（４）",44.36111111,142.4430556,""
142.4430556,44.36111111,"0110490","","01","024","54",2,2021,"名寄大橋",1,"2","0","天塩川下流（４）",44.36111111,142.4430556,""
141.81361111,44.99527777,"0113990","","01","024","55",2,2021,"天塩大橋",1,"2","3","天塩川下流（４）",44.99527777,141.81361111,""
141.81361111,44.99527777,"0113990","","01","024","55",2,2021,"天塩大橋",1,"2","3","天塩川下流（４）",44.99527777,141.81361111,""
142.9311111,44.3325,"0110500","","01","025","01",1,2021,"七江橋（忍路子川合流前）",1,"1","0","興部川上流",44.3325,142.9311111,""
143.10333333,44.46583333,"0110520","","01","026","01",1,2021,"興部町興部簡水取水口",1,"1","0","興部川中流",44.46583333,143.10333333,""
143.1169444,44.47527778,"0110530","","01","027","01",1,2021,"興部捕獲場",1,"1","0","興部川下流",44.47527778,143.1169444,""
143.07333334,44.18861111,"0110540","","01","028","01",1,2021,"滝の上橋",1,"1","0","渚滑川上流",44.18861111,143.07333334,""
143.2466667,44.22972222,"0118780","","01","029","51",2,2021,"新記念橋",1,"2","3","渚滑川中流",44.22972222,143.2466667,""
143.27277778,44.34888889,"0110550","","01","029","01",1,2021,"紋別市上水花園浄水場取水口（宇津々橋）",1,"1","3","渚滑川中流",44.34888889,143.27277778,""
143.31083333,44.3825,"0110570","","01","030","01",1,2021,"渚滑捕獲場（渚滑橋）",1,"1","3","渚滑川下流",44.3825,143.31083333,""
143.17555556,43.8825,"0110580","","01","031","01",1,2021,"白滝橋（支湧別川合流前）",1,"1","0","湧別川上流",43.8825,143.17555556,""
143.31972223,44.00166667,"0110590","","01","032","01",1,2021,"丸瀬布町簡水予備取水口",1,"1","0","湧別川下流（１）",44.00166667,143.31972223,""
143.59083333,44.20027778,"0110600","","01","033","01",1,2021,"中湧別橋（中湧別）",1,"1","3","湧別川下流（２）",44.20027778,143.59083333,""
143.51888889,44.05277778,"0110610","","01","033","51",2,2021,"遠軽橋",1,"2","3","湧別川下流（２）",44.05277778,143.51888889,""
143.59666666,44.21527778,"0114760","","01","033","52",2,2021,"湧別大橋",1,"2","0","湧別川下流（２）",44.21527778,143.59666666,""
143.67055556,43.965,"0110620","","01","034","01",1,2021,"敷島橋（オンネルベシベ川合流前）",1,"1","0","佐呂間別川上流",43.965,143.67055556,""
143.63805555,43.89416666,"0114130","","01","034","52",2,2021,"プトイサロマ川合流前",1,"2","0","佐呂間別川上流",43.89416666,143.63805555,""
143.9366667,44.07972222,"0110630","","01","035","01",1,2021,"佐呂間大橋",1,"1","3","佐呂間別川下流",44.07972222,143.9366667,""
144.49416666,43.79777777,"0110640","","01","036","01",1,2021,"水上橋（シノマンヤンベツ川合流",1,"1","0","止別川上流",43.79777777,144.49416666,""
144.4825,43.82083334,"0110650","","01","037","01",1,2021,"パナクシュベツ川合流前（無名橋）",1,"1","0","止別川中流",43.82083334,144.4825,""
144.48166667,43.82277778,"0110660","","01","037","51",2,2021,"止別川合流前（無名橋）",1,"2","0","止別川中流",43.82277778,144.48166667,""
144.47333334,43.9125,"0110670","","01","038","01",1,2021,"中島橋",1,"1","3","止別川下流",43.9125,144.47333334,""
144.51888889,43.745,"0110680","","01","039","01",1,2021,"長栄橋（札鶴川合流前）",1,"1","0","斜里川上流",43.745,144.51888889,""
